# source: results/v1,v2,v3,v4/raw.jsonl sha256=f17c97dd404efc7876f0f8d59e28b8087514a0e56b1b4d76b10599d75fe05f3d
model,subgroup,contrast,question,p1,p2,diff,odds_ratio,p,p_holm
google/gemini-2.5-flash,distant,exit_prose-none,RQ3,0.1875,0.1375,0.04999999999999999,1.4415772798412034,0.13762074928068113,0.8550763639089476
google/gemini-2.5-flash,distant,exit_prose-filler_prose,RQ3,0.1875,0.1125,0.075,1.8068821204371077,0.021397568696919222,0.17118054957535378
google/gemini-2.5-flash,distant,exit_prose-exit_schema,RQ3,0.1875,0.19583333333333333,-0.008333333333333331,0.9480953021941042,0.8165990570773045,1.0
google/gemini-2.5-pro,adjacent,exit_schema-note_schema,RQ2,0.6666666666666666,0.275,0.3916666666666666,5.190818061590781,1.5291468091760407e-09,1.2233174473408326e-08
google/gemini-2.5-pro,adjacent,exit_prose-none,RQ3,0.6470588235294118,0.26666666666666666,0.38039215686274513,4.965610859728507,3.5586624758110474e-09,2.4910637330677332e-08
google/gemini-2.5-pro,adjacent,exit_prose-filler_prose,RQ3,0.6470588235294118,0.275,0.3720588235294118,4.762949956101844,7.922372313728943e-09,4.7534233882373655e-08
google/gemini-2.5-pro,adjacent,exit_prose-exit_schema,RQ3,0.6470588235294118,0.6666666666666666,-0.019607843137254832,0.9175721243911578,0.7510859203885853,1.0
google/gemini-2.5-pro,distant,exit_schema-note_schema,RQ2,0.23430962343096234,0.200836820083682,0.03347280334728034,1.2157363970898059,0.3751582410124097,1.0
google/gemini-2.5-pro,distant,exit_prose-none,RQ3,0.29707112970711297,0.26666666666666666,0.030404463040446306,1.161157500057507,0.4595772049098181,1.0
google/gemini-2.5-pro,distant,exit_prose-filler_prose,RQ3,0.29707112970711297,0.26359832635983266,0.03347280334728031,1.1794434449403022,0.41527133559632157,1.0
google/gemini-2.5-pro,distant,exit_prose-exit_schema,RQ3,0.29707112970711297,0.23430962343096234,0.06276150627615062,1.3781413303222079,0.1203562234499791,0.6017811172498955
google/gemma-3-27b-it,adjacent,exit_schema-note_schema,RQ2,0.4351851851851852,0.3333333333333333,0.10185185185185186,1.5341352043657421,0.12387691174220405,0.4955076469688162
google/gemma-3-27b-it,adjacent,exit_prose-none,RQ3,0.6944444444444444,0.39814814814814814,0.2962962962962963,3.3935494939097617,1.2230590387574125e-05,8.561413271301888e-05
google/gemma-3-27b-it,adjacent,exit_prose-filler_prose,RQ3,0.6944444444444444,0.3888888888888889,0.3055555555555555,3.526426690079017,6.593496824303102e-06,5.274797459442482e-05
google/gemma-3-27b-it,adjacent,exit_prose-exit_schema,RQ3,0.6944444444444444,0.4351851851851852,0.25925925925925924,2.917989002356638,0.00012166806133850905,0.0007300083680310543
google/gemma-3-27b-it,distant,exit_schema-note_schema,RQ2,0.08823529411764706,0.08823529411764706,0.0,1.0,1.0,1.0
google/gemma-3-27b-it,distant,exit_prose-none,RQ3,0.17647058823529413,0.14705882352941177,0.02941176470588236,1.2393345332490149,0.41985619872282376,1.0
google/gemma-3-27b-it,distant,exit_prose-filler_prose,RQ3,0.17647058823529413,0.17647058823529413,0.0,1.0,1.0,1.0
google/gemma-3-27b-it,distant,exit_prose-exit_schema,RQ3,0.17647058823529413,0.08823529411764706,0.08823529411764706,2.183735664447831,0.008546348950023486,0.04273174475011743
meta-llama/llama-4-maverick,adjacent,exit_schema-note_schema,RQ2,0.3333333333333333,0.2962962962962963,0.037037037037037035,1.1850397877984085,0.5578719451207532,1.0
meta-llama/llama-4-maverick,adjacent,exit_prose-none,RQ3,0.3055555555555556,0.38317757009345793,-0.07762201453790235,0.7110029522061757,0.23099684027032086,1.0
meta-llama/llama-4-maverick,adjacent,exit_prose-filler_prose,RQ3,0.3055555555555556,0.37037037037037035,-0.06481481481481477,0.7504701169160329,0.3139726632994746,1.0
meta-llama/llama-4-maverick,adjacent,exit_prose-exit_schema,RQ3,0.3055555555555556,0.3333333333333333,-0.027777777777777735,0.8813390184160391,0.6615391927567424,1.0
meta-llama/llama-4-maverick,distant,exit_schema-note_schema,RQ2,0.10185185185185185,0.10747663551401869,-0.0056247836621668434,0.9426789914127879,0.8489028345959906,1.0
meta-llama/llama-4-maverick,distant,exit_prose-none,RQ3,0.1712962962962963,0.28837209302325584,-0.11707579672695953,0.5130919220055711,0.003863245374112534,0.03090596299290027
meta-llama/llama-4-maverick,distant,exit_prose-filler_prose,RQ3,0.1712962962962963,0.2638888888888889,-0.09259259259259259,0.5795082959912802,0.01969474669440041,0.13786322686080288
meta-llama/llama-4-maverick,distant,exit_prose-exit_schema,RQ3,0.1712962962962963,0.10185185185185185,0.06944444444444446,1.8059424326833797,0.03558720519913616,0.21352323119481698
openai/gpt-5-mini,adjacent,exit_schema-note_schema,RQ2,0.48333333333333334,0.43333333333333335,0.04999999999999999,1.221257142857143,0.4369815999540667,1.0
openai/gpt-5-mini,adjacent,exit_prose-none,RQ3,0.4166666666666667,0.4083333333333333,0.00833333333333336,1.0346729708431837,0.8956781047476392,1.0
openai/gpt-5-mini,adjacent,exit_prose-filler_prose,RQ3,0.4166666666666667,0.44166666666666665,-0.024999999999999967,0.9037582024259296,0.6956166952054703,1.0
openai/gpt-5-mini,adjacent,exit_prose-exit_schema,RQ3,0.4166666666666667,0.48333333333333334,-0.06666666666666665,0.7652906589076802,0.29927071049571863,1.0
openai/gpt-5-mini,distant,exit_schema-note_schema,RQ2,0.2791666666666667,0.3,-0.020833333333333315,0.904203517837623,0.614851846280027,1.0
openai/gpt-5-mini,distant,exit_prose-none,RQ3,0.2875,0.2708333333333333,0.016666666666666663,1.085816660360982,0.6840109119499136,1.0
openai/gpt-5-mini,distant,exit_prose-filler_prose,RQ3,0.2875,0.2833333333333333,0.004166666666666652,1.0205145666191398,0.9194965535063906,1.0
openai/gpt-5-mini,distant,exit_prose-exit_schema,RQ3,0.2875,0.2791666666666667,0.008333333333333304,1.0416369722492171,0.8394613647737768,1.0
