# T24_four_category_v1 | generated 2026-08-16T20:43:09Z | sources derived/cd_conf_classified.parquet sha256=47047c347c1db422 + derived/llama4_stage2_classified.parquet sha256=4b41e1d822ebe8f5 + derived/stage2_classified.parquet sha256=6a3353080dafb189 + derived/stage2b_classified.parquet sha256=3398d8e6234f8082 + config/stimuli_cd.yaml | THE one sanctioned cross-stage read (declared in §10 before C/D collection); stage allowlist enforced in code; pooled rows valid only alongside category rows; stage-1 data never enters
model,category,condition,source_stage,n,k_refusal,refusal_prop,wilson_lo,wilson_hi,k_code_c,k_exits,completion_median,n_compliant,grade,row_kind
gemini25_flash,ABCD_pooled,time_schema,join,192,13,0.0677,0.04,0.1124,12,0,,,pooled - read only with the category rows above,pooled
gemini25_flash,ABCD_pooled,note_schema,join,192,8,0.0417,0.0213,0.0801,7,0,,,pooled - read only with the category rows above,pooled
gemini25_flash,ABCD_pooled,exit_schema,join,192,13,0.0677,0.04,0.1124,13,1,,,pooled - read only with the category rows above,pooled
gemini25_flash,ABCD_pooled,exit_prose,join,192,0,0.0,0.0,0.0196,0,1,,,pooled - read only with the category rows above,pooled
gemini25_flash,ABCD_pooled,exit_both,join,192,3,0.0156,0.0053,0.0449,3,4,,,pooled - read only with the category rows above,pooled
gemma3_27b,A,none,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemma3_27b,A,time_schema,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemma3_27b,A,note_schema,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemma3_27b,A,exit_schema,stage2,60,1,0.0167,0.0029,0.0886,1,0,1.0,59.0,n=60,category
gemma3_27b,A,exit_prose,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemma3_27b,A,exit_both,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemma3_27b,B,none,stage2,60,0,0.0,0.0,0.0602,0,0,0.95,60.0,n=60,category
gemma3_27b,B,time_schema,stage2,60,0,0.0,0.0,0.0602,0,0,0.75,60.0,n=60,category
gemma3_27b,B,note_schema,stage2,60,0,0.0,0.0,0.0602,0,0,0.7,60.0,n=60,category
gemma3_27b,B,exit_schema,stage2,60,0,0.0,0.0,0.0602,0,0,0.725,60.0,n=60,category
gemma3_27b,B,exit_prose,stage2,60,0,0.0,0.0,0.0602,0,0,0.95,60.0,n=60,category
gemma3_27b,B,exit_both,stage2,60,0,0.0,0.0,0.0602,0,0,0.675,60.0,n=60,category
gemma3_27b,C,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,0.75,36.0,n=36,category
gemma3_27b,C,time_schema,cd_conf,36,12,0.3333,0.2021,0.4967,12,0,0.9,24.0,n=36,category
gemma3_27b,C,note_schema,cd_conf,36,8,0.2222,0.1172,0.3808,8,0,0.85,28.0,n=36,category
gemma3_27b,C,exit_schema,cd_conf,36,14,0.3889,0.2478,0.5514,12,0,0.95,22.0,n=36,category
gemma3_27b,C,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,0,0.725,36.0,n=36,category
gemma3_27b,C,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,0,0.75,36.0,n=36,category
gemma3_27b,D,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gemma3_27b,D,time_schema,cd_conf,36,9,0.25,0.1375,0.4107,9,0,1.0,27.0,n=36,category
gemma3_27b,D,note_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gemma3_27b,D,exit_schema,cd_conf,36,8,0.2222,0.1172,0.3808,8,0,1.0,28.0,n=36,category
gemma3_27b,D,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gemma3_27b,D,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gemma3_27b,ABCD_pooled,none,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
gemma3_27b,ABCD_pooled,time_schema,join,192,21,0.1094,0.0727,0.1614,21,0,,,pooled - read only with the category rows above,pooled
gemma3_27b,ABCD_pooled,note_schema,join,192,8,0.0417,0.0213,0.0801,8,0,,,pooled - read only with the category rows above,pooled
gemma3_27b,ABCD_pooled,exit_schema,join,192,23,0.1198,0.0812,0.1733,21,0,,,pooled - read only with the category rows above,pooled
gemma3_27b,ABCD_pooled,exit_prose,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
gemma3_27b,ABCD_pooled,exit_both,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
sonnet46,A,none,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,A,time_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,A,note_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,A,exit_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,A,exit_prose,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,A,exit_both,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,B,none,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,B,time_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,B,note_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,B,exit_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,B,exit_prose,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,B,exit_both,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
sonnet46,C,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,C,time_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,C,note_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,C,exit_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,C,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,C,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,D,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,D,time_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,D,note_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,D,exit_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,D,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,D,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
sonnet46,ABCD_pooled,none,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
sonnet46,ABCD_pooled,time_schema,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
sonnet46,ABCD_pooled,note_schema,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
sonnet46,ABCD_pooled,exit_schema,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
